FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES,,,,,,
CARRERA,NIVEL,OCD N.°,OCS N.° ,RESOLUCIÓN MINISTERIAL N.° ,RES. CONEAU,OBSERVACIONES
INGENIERÍA EN COMPUTACIÓN ,GRADO,OCD N.° 28/12,OCS N.° 2/13,RESOLUCIÓN MINISTERIAL N.° 403/2021 ,RES. CONEAU 240/18,RM 1553/12 MENCIONA OCD N.° 16/11 Y OCS N.° 39/09 
INGENIERÍA EN INFORMÁTICA,GRADO,OCD N.° 2/25,OCS N.° 30/25,RESOLUCIÓN MINISTERIAL N.° 2105/20,RES. CONEAU 239/18,RM ANTERIOR 1484/12 ---ESPERAR RM NUEVA (OCD 3/25 Correlatividades y OCD 4/25 Transición)
INGENIERÍA ELECTRÓNICA CON ORIENTACIÓN EN SISTEMA DIGITALES,GRADO,OCD N.° 6/24,OCS N.° 33/25,RESOLUCIÓN MINISTERIAL N.° 258/10,RES. CONEAU 1212/15,RM TIENE RECONOCIMIENTO OFICIAL POR 6 AÑOS---ESPERAR RM NUEVA (OCD 7/24 Correlatividades y OCD 5/25 Transición)
INGENIERÍA EN MINAS,GRADO,OCD N.° 11/23,OCS N.° 2/24,RESOLUCIÓN MINISTERIAL N.° 2321/15,RES. CONEAU 896/13,RM MENCIONA OCS N.° 26/08 Salió la OCD 11/2023 ratificada por OCS N.° 2/2024 - Plan de Transición OCD N.° 13/23 - Reg. correlatividades OCD N.° 12/23 
LICENCIATURA EN ANÁLISIS Y GESTIÓN DE DATOS,GRADO,OCD N.° 1/22 FCFMyN  Y OCD 9/22,OCS N.° 27/22,RESOLUCION MINISTERIAL N.° 3490/22,,
LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,GRADO,OCD N.° 1/23,OCS N.° 14/23,RESOLUCIÓN MINISTERIAL N.° 1049/14 y 1023/14 (Titulo Intermedio Analista programador),RES. CONEAU 647/12,RM MENCIONA OCS N.° 34/11
LICENCIATURA EN CIENCIAS GEOLÓGICAS,GRADO,OCD N.° 2/22,OCS N.° 18/22,RESOLUCIÓN MINISTERIAL N.° 922/2024,RES. CONEAU 266/23 y 277/23,
LICENCIATURA EN CIENCIAS MATEMÁTICAS,GRADO,OCD N.° 9/17,OCS N.° 28/17,RESOLUCIÓN MINISTERIAL N.° 287/08,,RM MENCIONA OCS N.° 24/6 Y OCD N.° 18/06. 
LICENCIATURA EN FÍSICA,GRADO,OCD N.° 15/06,OCS N.° 16/06,RESOLUCIÓN MINISTERIAL N.° 889/05,,"RM MENCIONA LAS OCS N.° 22/03 Y 7/05, Y LAS OCD N.° 25/02 Y 1/05 FALTA PDF 1/05"
PROFESORADO EN CIENCIAS DE LA COMPUTACIÓN,GRADO,OCD N.° 2/16,OCS N.° 31/16,RESOLUCIÓN MINISTERIAL N.° 816/20,,
PROFESORADO EN FÍSICA,GRADO,OCD N.° 16/06,OCS N.° 40/99,RESOLUCIÓN MINISTERIAL N.° 609/00,,
PROFESORADO EN MATEMÁTICA,GRADO,OCD N.° 21/13,OCS N.° 65/13,RESOLUCIÓN MINISTERIAL N.° 176/16,,
PROFESORADO EN TECNOLOGÍA ELECTRÓNICA,GRADO,OCD N.° 5/09,OCS N.° 29/09,RESOLUCIÓN MINISTERIAL N.° 1330/10,,
TECNICATURA UNIVERSITARIA EN ELECTRÓNICA ,PREGRADO,OCD N.° 15/13,OCS N.° 38/13,RESOLUCIÓN MINISTERIAL N. ° 2258/18,,RM MENCIONA LA OCS N.° 24/13 Y LA 40/11
TECNICATURA UNIVERSITARIA EN ENERGIAS RENOVABLES ,PREGRADO,OCD N.° 5/13,OCS N.° 23/13,RESOLUCIÓN MINISTERIAL N.° 1085/17,,RM MENCIONA LA OCS N.° 1/12 Y LA OCS N.° 52/12 ----- OCD N.° 8/2025 y su ratificación OCS N.° 37/25 Modifica Alcances del Título.
TECNICATURA UNIVERSITARIA EN FOTOGRAFÍA,PREGRADO,OCD N.° 2/18,OCS N.° 15/15,RESOLUCIÓN MINISTERIAL N.° 293/17,,
TECNICATURA UNIVERSITARIA EN MINERIA ,PREGRADO,OCD N.° 4/20 Y 12/21,OCS N.° 21/21 - RATIFICA LA 12/21,RESOLUCION MINISTERIAL N.° 3937/21,,FALTA LA OCS N.° 19/20 QUE DEBE RAT. 4/20
TECNICATURA UNIVERSITARIA EN OBRAS VIALES,PREGRADO,OCD N.° 1/18,OCS N.° 22/21,RESOLUCIÓN MINISTERIAL N.° 1142/10,,RM MENCIONA LA OCD N.° 14/09 Y LA OCS N.° 32/09 - La OCD N.° 6/2025 y su ratificación OCS N.° 18/2025 rectifica el régimen de correlatividades 
TECNICATURA UNIVERSITARIA EN REDES DE COMPUTADORAS,PREGRADO,OCD N.° 12/15,OCS N.° 28/15,RESOLUCIÓN MINISTERIAL N.° 212/05,,RM MENCIONA OCD 7/4 Y OCS 33/04 (BAJAR LOS PDF)
TECNICATURA UNIVERSITARIA EN TELECOMUNICACIONES,PREGRADO,OCD N.° 16/13,OCS N.° 39/13,RESOLUCIÓN MINISTERIAL N.° 178/15,,RM MENCIONA LAS OCS N.° 22/12 Y 23/10 TENGO PDF DE LAS QUE MENCIONA
TECNICATURA UNIVERISTARIA EN TELEDETECCIÓN (T-SIG.),PREGRADO,OCD N.° 13/22,OCS N.° 54/22,RESOLUCIÓN MINISTERIAL N.° 1174/23,,
TECNICATURA UNIVERSITARIA WEB,PREGRADO,OCD N.° 8/13,OCS N.° 29/13,RESOLUCIÓN MINISTERIAL N.° 715/21,,RM MENCIONA OCS18/20 Y OCD-3/20 FALTA PDF 18/20
DOCTORADO EN CIENCIAS DE LA COMPUTACIÓN,POSGRADO,OCD N.° 5/2021,OCS N.° 15/2021,RESOLUCIÓN MINISTERIAL N.° 578/22,RES. CONEAU N.° 71/2022,
DOCTORADO EN CIENCIAS GEOLÓGICAS,POSGRADO,OCD N.° 14/2020,OCS N.° 35/2020,RESOLUCIÓN MINISTERIAL N.° 403/2023,RES. CONEAU N.° 338/2022,
DOCTORADO EN CIENCIAS MATEMÁTICAS,POSGRADO,OCD N.° 7/2021,OCS N.° 32/2021,RESOLUCIÓN MINISTERIAL N.° 1589/2016,RES. CONEAU N.° 281/2022,reglamento OCD N.° 8/2021 Y OCS N.° 33/2021 (FALTA NUEVA RM)
DOCTORADO EN FÍSICA,POSGRADO,OCD N.° 4/2013,OCS N.° 18/2013,RESOLUCIÓN MINISTERIAL N.° 3090/2015,RES. CONEAU N.° 302/2022,FALTA NUEVA RM
DOCTORADO EN INGENIERÍA ELECTRÓNICA,POSGRADO,OCD 8/2022 (FICA) y OCD N.° 9/2022 (MATEMÁTICA),OCS N.° 37/2022,,ACTA CONEAU N.° 592/2023,FALTA RM
